證券代號,證券名稱,產業內容
1583,程泰,金屬加工用機械
1584,精剛,其他
1586,和勤,"金屬、塑膠模具, 其他電腦及週邊設備之零組件, 機械設備之沖壓零組件, 車用機械傳動設備及零配件"
1587,吉茂,其他
1589,永冠-KY,"鋼鑄鐵元件, 齒輪箱, 其他配件, 風場開發, 原材料"
1590,亞德客-KY,"傳動元件, 金屬加工用機械"
1591,駿吉-KY,五金元件及零配件
1593,祺驊,"裝置/器材零組件, 電子零組件、塑膠零件、五金零件, 塑化材料, 金屬零件"
1595,川寶,生產製程及檢測設備
1597,直得,"傳動元件, 電控元件"
1598,岱宇,"其他, 健身器材"
1599,宏佳騰,"休閒車業, 電動汽車、電動機車、電動自行車"
1603,華電,"建材原料, 工程承攬, 其他, 高/低壓輸電設施"
1604,聲寶,"電視, 其他"
1605,華新,"煤、鐵礦砂、鎳鐵、鉻鐵、廢鋼, 不鏽鋼胚, 冷熱軋不鏽鋼板捲, 不鏽鋼棒線, 製管, 鋼線鋼纜, 建設業, 鋰電池材料, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 太陽能發電設備/系統及系統工程, 電纜, 高/低壓輸電設施"
1608,華榮,"光通訊設備(如光纖電纜、光傳輸設備), 其他"
1609,大亞,"其他, 太陽能電廠, 電纜, 高/低壓輸電設施"
1611,中電,"其他, 特殊照明業, 燈具/應用, 鋰電池材料, 太陽能發電設備/系統及系統工程"
1612,宏泰,"建材原料, 其他, 電纜, 高/低壓輸電設施"
1614,三洋電,"監視器/顯示器, 電視, 有線通訊設備(如電話機、傳真機), 冷凍空調設備及零件, 製造商, 貿易商、代理商、經銷商, 零售通路, 其他電子產品及電子服務產業"
1615,大山,"線材, 其他, 電纜, 高/低壓輸電設施"
1616,億泰,其他
1617,榮星,"線材, 金屬材料, 金屬加工處理, 其他"
1618,合機,"線材, 光通訊設備(如光纖電纜、光傳輸設備), 其他, 電纜, 高/低壓輸電設施"
1626,艾美特-KY,其他
1702,南僑,"原物料, 加工食品, 餐飲連鎖"
1707,葡萄王,"加工製成品, 保健食品代理銷售及通路"
1708,東鹼,其他
1709,和益,界面活性劑
1710,東聯,"石化原料(例如純對苯二甲酸、乙二醇、己內醯胺、丙烯腈等), 其他"
1711,永光,"化學品, 其他電腦及週邊設備之零組件, 化學品(如光阻劑、靶材等), 顏染料, 接著劑(合成樹脂), 中藥材、西藥原料藥, 橡塑膠添加劑, 材料"
1712,興農,"塑膠製品, 農藥"
1713,國化,化學助劑
1714,和桐,界面活性劑
1717,長興,"化學品, 化學品(如光阻劑、靶材等), 擴散膜、增亮膜、導光板, 膠材, 環氧樹脂, 酚醛樹脂, 聚亞醯胺樹脂, 接著劑(合成樹脂), 銅箔基板, 工業用合成樹脂, 材料"
1718,中纖,其他
1720,生達,"中、西藥製劑, 保健食品代理銷售及通路"
1721,三晃,"接著劑(合成樹脂), 工業用合成樹脂, 橡塑膠添加劑"
1722,台肥,其他
1723,中碳,"石化上游原料及相關鑽探設備, 鋰電池材料, 原材料"
1725,元禎,"PTA(對苯二甲酸)觸媒, 界面活性劑, 工業用合成樹脂, 橡塑膠添加劑"
1726,永記,其他
1727,中華化,"化學品, 化學助劑, PTA(對苯二甲酸)觸媒, 界面活性劑, 工業用合成樹脂"
1730,花仙子,"塑膠製品, 清潔用品, 貿易商、代理商、經銷商"
1731,美吾華,"清潔用品, 藥品代理銷售及通路, 保健食品代理銷售及通路"
1732,毛寶,清潔用品
1733,五鼎,"體溫計、血壓計, 醫療耗材"
1734,杏輝,中、西藥製劑
1735,日勝化,"塑膠製品, 接著劑(合成樹脂), 工業用合成樹脂"
1736,喬山,"其他, 健身器材"
1737,臺鹽,"原物料, 營養食品, 化妝品"
1742,台蠟,"化學品, 貿易商、代理商、經銷商"
1752,南光,中、西藥製劑
1760,寶齡富錦,"化妝品, 中、西藥製劑, 藥品代理銷售及通路, 加工製成品, 保健食品代理銷售及通路, 醫療耗材, 生物檢測"
1762,中化生,中藥材、西藥原料藥
1773,勝一,"化學品(如光阻劑、靶材等), 接著劑(合成樹脂)"
1776,展宇,"塑膠製品, 接著劑(合成樹脂), 工業用合成樹脂"
1777,生泰,中藥材、西藥原料藥
1781,合世,體溫計、血壓計
1783,和康生,醫療耗材
1784,訊聯,"幹細胞收集儲存, 幹細胞開發, 臨床實驗、移植技術、疾病治療"
1785,光洋科,"化學品, 硬碟機, 化學品(如光阻劑、靶材等), ITO靶材, 濾波器、振盪器材料(鉭酸鋰／鈮酸鋰晶圓／片、石英基板、金屬及陶瓷封裝材料), 生產製程及檢測設備, 環保潔能服務產業, 其他, 材料"
1786,科妍,"原材料, 中、西藥製劑, 醫療耗材"
1788,杏昌,"藥品代理銷售及通路, 保健食品代理銷售及通路, 醫療器材代理"
1789,神隆,中藥材、西藥原料藥
1795,美時,"中、西藥製劑, 加工製成品, 保健食品代理銷售及通路"
1796,金穎生技,"原料, 加工製成品, 保健食品代理銷售及通路"
1799,易威,"中、西藥製劑, 體溫計、血壓計"
1802,台玻,"玻璃纖維/玻纖布, 建材原料"
1805,寶徠,建設業
1806,冠軍,建材原料
1808,潤隆,建設業
1809,中釉,"建材原料, 個人、民間企業、政府機構, 封裝/模組"
1810,和成,建材原料
1813,寶利徠,隱型眼鏡、光學鏡片
1815,富喬,玻璃纖維/玻纖布
1817,凱撒衛,"建材原料, 貿易商、代理商、經銷商"
1903,士紙,工業用紙
1904,正隆,"紙漿、紙類原料, 紙器及紙類製造印刷、加工, 銷售、進出口業務, 文化用紙, 工業用紙, 家庭用紙"
1905,華紙,"紙漿、紙類原料, 銷售、進出口業務, 文化用紙"
1906,寶隆,銷售、進出口業務
1907,永豐餘,"紙器及紙類製造印刷、加工, 銷售、進出口業務, 文化印刷業, 文化用紙, 工業用紙, 家庭用紙"
1909,榮成,紙漿、紙類原料
2002,中鋼,"鋼胚, 冷熱軋鋼板捲, 線材盤元, 棒鋼盤元(捲狀條鋼)"
2006,東和鋼鐵,"鋼胚, 鋼筋"
2007,燁興,"鋼筋, 線材盤元, 棒鋼盤元(捲狀條鋼)"
2008,高興昌,"冷熱軋鋼板捲, 製管"
2009,第一銅,冷熱軋鋼板捲
2010,春源,"冷熱軋鋼板捲, 棒鋼盤元(捲狀條鋼), 冷熱軋不鏽鋼板捲, 不鏽鋼棒線, 裁剪加工, 金屬製品, 模具, 建築工程, 結構工程"
2012,春雨,"線材盤元, 金屬製品, 機械設備(如產業機械、精密機械、工具機), 模具, 螺絲螺帽, 鋼線鋼纜, 其他配件"
2013,中鋼構,"金屬製品, 鋼材"
2014,中鴻,"冷熱軋鋼板捲, 製管"
2015,豐興,"鋼胚, 鋼筋, 棒鋼盤元(捲狀條鋼), 金屬製品"
2017,官田鋼,"鋼筋, 線材盤元, 金屬製品, 螺絲螺帽, 鋼線鋼纜"
2020,美亞,"製管, 建材原料, 建設業"
2022,聚亨,"線材盤元, 螺絲螺帽"
2023,燁輝,冷熱軋鋼板捲
2024,志聯,鋼線鋼纜
2025,千興,冷熱軋不鏽鋼板捲
2027,大成鋼,製管
2028,威致,"鋼胚, 鋼筋, 線材盤元, 棒鋼盤元(捲狀條鋼)"
2029,盛餘,"冷熱軋鋼板捲, 建築工程"
2030,彰源,製管
2031,新光鋼,"裁剪加工, 基礎工程, 結構工程, 太陽能發電設備/系統及系統工程, 鋼材, 塔架, 其他配件"
2032,新鋼,裁剪加工
2033,佳大,鋼線鋼纜
2034,允強,"冷熱軋不鏽鋼板捲, 不鏽鋼型鋼, 裁剪加工, 製管"
2035,唐榮,不鏽鋼胚
2038,海光,鋼筋
2049,上銀,"傳動元件, 工業型機器人"
2059,川湖,"其他電腦及週邊設備之零組件, 其他電子產品及電子服務產業"
2061,風青,其他
2062,橋椿,其他
2063,世鎧,"不鏽鋼棒線, 螺絲螺帽"
2064,晉椿,"線材盤元, 棒鋼盤元(捲狀條鋼), 不鏽鋼棒線"
2065,世豐,螺絲螺帽
2066,世德,"五金元件及零配件, 機械設備之沖壓零組件, 車用機械傳動設備及零配件, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
2067,嘉鋼,"鋼鑄鐵元件, 金屬加工處理"
2069,運錩,"冷熱軋不鏽鋼板捲, 裁剪加工"
2070,精湛,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等)
2073,雄順,"冷熱軋鋼板捲, 鋼筋, 線材盤元, 棒鋼盤元(捲狀條鋼)"
2101,南港,輪胎
2102,泰豐,"橡膠製品, 其他, 輪胎"
2103,台橡,橡膠製品
2104,國際中橡,橡塑膠添加劑
2105,正新,橡膠製品
2106,建大,"橡膠製品, 其他, 輪胎, 運動用品, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件"
2107,厚生,橡膠製品
2108,南帝,橡膠製品
2109,華豐,橡膠製品
2114,鑫永銓,橡膠製品
2115,六暉-KY,橡膠製品
2201,裕隆,整車組裝、修理及技術服務
2204,中華,"整車組裝、修理及技術服務, 銷售、進出口業務"
2206,三陽工業,"整車組裝、修理及技術服務, 銷售、進出口業務"
2207,和泰車,"銷售、進出口業務, 大功率鋰電池芯/模組、電池管理系統、動力馬達等零組件, 電動汽車、電動機車、電動自行車"
2208,台船,"其他, 風場營造"
2211,長榮鋼,金屬製品
2221,大甲,金屬製品
2227,裕日車,"整車組裝、修理及技術服務, 銷售、進出口業務"
2228,劍麟,其他
2230,泰茂,"車用機械傳動設備及零配件, 貿易商、代理商、經銷商"
2231,為升,整車組裝、修理及技術服務
2233,宇隆,"傳動元件, 五金元件及零配件, 輸送機械及零配件, 車用機械傳動設備及零配件, 金屬加工處理"
2235,謚源,"車用機械傳動設備及零配件, 其他"
2239,英利-KY,"保險桿, 其他"
2241,艾姆勒,"汽車零配件生產, 整車組裝、修理及技術服務, 銷售、進出口業務, 車燈, 輪胎, 鈑金, 鋁合金鋼圈, 引擎蓋, 保險桿, 其他"
2247,汎德永業,銷售、進出口業務
2254,巨鎧精密-創,"車用機械傳動設備及零配件, 車燈"
